"filename", "language", "JavaScript React", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/review/reviewMenu/reviewMenu.css", "CSS", 0, 0, 51, 0, 8, 59
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/review/studiesImport/StudiesImport.jsx", "JavaScript React", 108, 0, 0, 0, 15, 123
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/review/studiesImport/studiesImport.css", "CSS", 0, 0, 90, 0, 19, 109
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/criteria/Criteria.jsx", "JavaScript React", 149, 0, 0, 0, 15, 164
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/criteria/CriteriaTypes.jsx", "JavaScript React", 2, 0, 0, 0, 0, 2
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/criteria/criteria.css", "CSS", 0, 0, 64, 0, 12, 76
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/keywords/Keywords.jsx", "JavaScript React", 176, 0, 0, 0, 14, 190
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/keywords/keywords.css", "CSS", 0, 0, 85, 0, 13, 98
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/keywords/reviewKeywords/ReviewKeywords.jsx", "JavaScript React", 171, 0, 0, 0, 14, 185
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/keywords/userKeywords/UserKeywords.jsx", "JavaScript React", 171, 0, 0, 0, 13, 184
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/newElementField/NewElementField.jsx", "JavaScript React", 25, 0, 0, 0, 3, 28
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/newElementField/newElementField.css", "CSS", 0, 0, 21, 0, 3, 24
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/optionHeader/OptionHeader.jsx", "JavaScript React", 14, 0, 0, 0, 3, 17
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/optionHeader/optionHeader.css", "CSS", 0, 0, 20, 0, 3, 23
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningCriteria/ScreeningCriteria.jsx", "JavaScript React", 10, 0, 0, 0, 3, 13
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningCriteria/screeningCriteria.css", "CSS", 0, 0, 19, 0, 2, 21
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningMenu/ScreeningMenu.jsx", "JavaScript React", 26, 0, 0, 0, 5, 31
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningMenu/screeningMenu.css", "CSS", 0, 0, 30, 0, 5, 35
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningStudy/ScreeningStudy.jsx", "JavaScript React", 39, 0, 0, 0, 6, 45
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningStudy/screeningStudy.css", "CSS", 0, 0, 54, 0, 10, 64
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningStudy/studyTags/StudyTags.jsx", "JavaScript React", 18, 0, 0, 0, 2, 20
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/screeningStudy/studyTags/studyTags.css", "CSS", 0, 0, 25, 0, 8, 33
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/tags/Tags.jsx", "JavaScript React", 127, 0, 0, 4, 13, 144
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/screening/tags/tags.css", "CSS", 0, 0, 82, 0, 16, 98
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/signIn/SignIn.jsx", "JavaScript React", 96, 0, 0, 0, 12, 108
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/signIn/SignInPage.jsx", "JavaScript React", 21, 0, 0, 0, 3, 24
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/signIn/signIn.css", "CSS", 0, 0, 79, 1, 13, 93
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/signUp/SignUp.jsx", "JavaScript React", 168, 0, 0, 0, 8, 176
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/signUp/signUp.css", "CSS", 0, 0, 78, 0, 12, 90
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/updateEmail/UpdateEmail.jsx", "JavaScript React", 45, 0, 0, 0, 8, 53
